Humidity,Temperature,Date,Hour,
,,12/27/2022 23:00,718,
,,12/27/2022 22:00,717,
,,12/27/2022 21:00,716,
,,12/27/2022 20:00,715,
,,12/27/2022 19:00,714,
,,12/27/2022 18:00,713,
,,12/27/2022 17:00,712,
,,12/27/2022 16:00,711,
,,12/27/2022 15:00,710,
,,12/27/2022 14:00,709,
,,12/27/2022 13:00,708,
,,12/27/2022 12:00,707,
,,12/27/2022 11:00,706,
,,12/27/2022 10:00,705,
,,12/27/2022 9:00,704,
,,12/27/2022 8:00,703,
,,12/27/2022 7:00,702,
,,12/27/2022 6:00,701,
,,12/27/2022 5:00,700,
,,12/27/2022 4:00,699,
,,12/27/2022 3:00,698,
,,12/27/2022 2:00,697,
,,12/27/2022 1:00,696,
,,12/27/2022 0:00,695,
,,12/26/2022 23:00,694,
,,12/26/2022 22:00,693,
,,12/26/2022 21:00,692,
,,12/26/2022 20:00,691,
,,12/26/2022 19:00,690,
,,12/26/2022 18:00,689,
,,12/26/2022 17:00,688,
,,12/26/2022 16:00,687,
,,12/26/2022 15:00,686,
,,12/26/2022 14:00,685,
,,12/26/2022 13:00,684,
,,12/26/2022 12:00,683,
,,12/26/2022 11:00,682,
,,12/26/2022 10:00,681,
,,12/26/2022 9:00,680,
,,12/26/2022 8:00,679,
,,12/26/2022 7:00,678,
,,12/26/2022 6:00,677,
,,12/26/2022 5:00,676,
,,12/26/2022 4:00,675,
,,12/26/2022 3:00,674,
,,12/26/2022 2:00,673,
,,12/26/2022 1:00,672,
,,12/26/2022 0:00,671,
,,12/25/2022 23:00,670,
,,12/25/2022 22:00,669,
,,12/25/2022 21:00,668,
,,12/25/2022 20:00,667,
,,12/25/2022 19:00,666,
,,12/25/2022 18:00,665,
,,12/25/2022 17:00,664,
,,12/25/2022 16:00,663,
,,12/25/2022 15:00,662,
,,12/25/2022 14:00,661,
,,12/25/2022 13:00,660,
,,12/25/2022 12:00,659,
,,12/25/2022 11:00,658,
,,12/25/2022 10:00,657,
,,12/25/2022 9:00,656,
,,12/25/2022 8:00,655,
,,12/25/2022 7:00,654,
,,12/25/2022 6:00,653,
,,12/25/2022 5:00,652,
,,12/25/2022 4:00,651,
,,12/25/2022 3:00,650,
,,12/25/2022 2:00,649,
,,12/25/2022 1:00,648,
,,12/25/2022 0:00,647,
,,12/24/2022 23:00,646,
,,12/24/2022 22:00,645,
,,12/24/2022 21:00,644,
,,12/24/2022 20:00,643,
,,12/24/2022 19:00,642,
,,12/24/2022 18:00,641,
,,12/24/2022 17:00,640,
,,12/24/2022 16:00,639,
,,12/24/2022 15:00,638,
,,12/24/2022 14:00,637,
,,12/24/2022 13:00,636,
,,12/24/2022 12:00,635,
,,12/24/2022 11:00,634,
,,12/24/2022 10:00,633,
,,12/24/2022 9:00,632,
,,12/24/2022 8:00,631,
,,12/24/2022 7:00,630,
,,12/24/2022 6:00,629,
,,12/24/2022 5:00,628,
,,12/24/2022 4:00,627,
,,12/24/2022 3:00,626,
,,12/24/2022 2:00,625,
,,12/24/2022 1:00,624,
,,12/24/2022 0:00,623,
,,12/23/2022 23:00,622,
,,12/23/2022 22:00,621,
,,12/23/2022 21:00,620,
,,12/23/2022 20:00,619,
,,12/23/2022 19:00,618,
,,12/23/2022 18:00,617,
,,12/23/2022 17:00,616,
,,12/23/2022 16:00,615,
,,12/23/2022 15:00,614,
,,12/23/2022 14:00,613,
,,12/23/2022 13:00,612,
,,12/23/2022 12:00,611,
,,12/23/2022 11:00,610,
,,12/23/2022 10:00,609,
,,12/23/2022 9:00,608,
,,12/23/2022 8:00,607,
,,12/23/2022 7:00,606,
,,12/23/2022 6:00,605,
,,12/23/2022 5:00,604,
,,12/23/2022 4:00,603,
,,12/23/2022 3:00,602,
,,12/23/2022 2:00,601,
,,12/23/2022 1:00,600,
,,12/23/2022 0:00,599,
,,12/22/2022 23:00,598,
,,12/22/2022 22:00,597,
,,12/22/2022 21:00,596,
,,12/22/2022 20:00,595,
,,12/22/2022 19:00,594,
,,12/22/2022 18:00,593,
,,12/22/2022 17:00,592,
,,12/22/2022 16:00,591,
,,12/22/2022 15:00,590,
,,12/22/2022 14:00,589,
,,12/22/2022 13:00,588,
,,12/22/2022 12:00,587,
,,12/22/2022 11:00,586,
,,12/22/2022 10:00,585,
,,12/22/2022 9:00,584,
,,12/22/2022 8:00,583,
,,12/22/2022 7:00,582,
,,12/22/2022 6:00,581,
,,12/22/2022 5:00,580,
,,12/22/2022 4:00,579,
,,12/22/2022 3:00,578,
,,12/22/2022 2:00,577,
,,12/22/2022 1:00,576,
,,12/22/2022 0:00,575,
,,12/21/2022 23:00,574,
,,12/21/2022 22:00,573,
,,12/21/2022 21:00,572,
,,12/21/2022 20:00,571,
,,12/21/2022 19:00,570,
,,12/21/2022 18:00,569,
,,12/21/2022 17:00,568,
,,12/21/2022 16:00,567,
,,12/21/2022 15:00,566,
,,12/21/2022 14:00,565,
,,12/21/2022 13:00,564,
,,12/21/2022 12:00,563,
,,12/21/2022 11:00,562,
,,12/21/2022 10:00,561,
,,12/21/2022 9:00,560,
